timestamp,amplitude_V,is_peak
5.393000,-0.00012287,1
6.226000,-0.00012095,1
7.060000,-0.00011033,1
7.893000,-0.00012287,1
8.726000,-0.00012851,1
9.560000,-0.00010905,1
10.393000,-0.00011193,1
11.226000,-0.00012055,1
12.060000,-0.00011272,1
12.893000,-0.00012282,1
13.726000,-0.00012245,1
14.560000,-0.00010981,1
15.393000,-0.00012681,1
16.226000,-0.00012899,1
17.060000,-0.00010953,1
17.893000,-0.00012028,1
18.726000,-0.00012064,1
19.560000,-0.00011408,1
20.393000,-0.00011391,1
21.226000,-0.00011400,1
22.060000,-0.00011940,1
22.893000,-0.00012823,1
23.726000,-0.00012870,1
24.560000,-0.00012048,1
25.393000,-0.00011839,1
26.226000,-0.00010865,1
27.060000,-0.00010818,1
27.893000,-0.00012216,1
28.726000,-0.00012004,1
29.560000,-0.00011232,1
30.393000,-0.00012994,1
31.226000,-0.00012183,1
32.060000,-0.00010914,1
32.893000,-0.00012732,1
33.726000,-0.00011076,1
34.560000,-0.00011798,1
35.393000,-0.00011207,1
36.226000,-0.00012235,1
